Timestamp,Please confirm the following before proceeding:,What is your role or job title?,How long have you worked in your current position?,How long has your organization been using AI in inventory or supply chain management?,What is the size of the company that you work in?,Your organization primarily operate in which sector?,Which AI technologies are currently implemented in your organization/Company?  ,"Before implementing AI,  What was your average inventory turnover ratio? ","  Before implementing AI, on average, how many stockouts occurred per month?  ","Before implementing AI,  what was your monthly cost of labor in inventory operations? ","Before implementing AI,  what was your monthly logistics and transportation cost? "," Before implementing AI, ow frequently did you experience delayed order fulfilment?  ","After implementing AI,  what is your current average inventory turnover ratio? ","After Implementing AI,  how many stockouts occur per month now? ","After implementing AI,  What is your current monthly labor cost in inventory? ","After implementing AI,  what is your current monthly logistics and transportation cost? ","After implementing AI,  how frequently do you now experience delayed order fulfilment? ",AI has significantly reduced inventory-related errors in your organization.  , Your have experienced fewer stockouts since implementing AI  , AI-based replenishment is more flexible than your previous semi-automated system  ,Automation in your organization distribution centers has decreased both costs and wait times.  ,Your organization/Company has seen improvements in order fulfilment efficiency.  , Predictive analytics have improved your organization inventory forecasting accuracy  ,Initial setup costs were a significant barrier to adopting AI.  ,Data privacy and security concerns influence your organization AI adoption decisions  , AI systems are easy to use and integrate into existing operations in your organization/company ,I trust the recommendations provided by AI systems  , Your organization/company dependency on AI systems has grown over time.  , AI helps your company/organization identify and prevent overstocking and spoilage  , What factors influenced your organization’s decision to adopt or not adopt AI for inventory management?  , Would you recommend AI-based inventory systems to other organizations?  ,AI tools have made your organization supply chain more resilient during disruptions.,How satisfied are you with the performance of AI in your supply chain management?  , How would you rate your confidence in AI-based decision-making  ,In which areas has AI had the most significant positive impact in your organization?  
6/1/2025 13:40,I understand the purpose of this study,Inventory Manager,3 - 5 years,3 - 5 years,50 - 200 Employees,Manufacturing,AI-driven restocking/replenishment,Less than 2,1-2 times,"$1,000 – $4,999","$1,000 – $4,999",Frequently,5 – 7,6 – 10 times,"$1,000 – $4,999","Less than $1,000",Rarely,Agree,Neutral,Agree,Yes,Strongly agree,Agree,Yes,Neutral,Neutral,Agree,Agree,Agree,"Cost, Technical expertise, Data privacy concerns",Yes,Yes,Satisfied,High,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency"
6/1/2025 13:47,I understand the purpose of this study,Supply Chain Analysts,1-2 years,1 - 2 years,50 - 200 Employees,Retail,AI-driven restocking/replenishment,2 – 4,3- 5 times,"$5,000 – $9,999","$5,000 – $9,999",Frequently,8 – 10,6 – 10 times,"$1,000 – $4,999","$5,000 – $9,999",Rarely,Neutral,Neutral,Agree,Yes,Neutral,Neutral,Yes,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,"Cost, Technical expertise, Executive support",Yes,Yes,Neutral,High,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/1/2025 13:58,I have voluntarily agree to participate in this study,Operations Manager,1-2 years,Over 5 Years,50 - 200 Employees,Health,Predictive analytics,2 – 4,Not Sure,"$1,000 – $4,999","Less than $1,000",Rarely,Not sure,6 – 10 times,"$5,000 – $9,999","Less than $1,000",Occasionally,Agree,Agree,Agree,No,Agree,Agree,Yes,Disagree,Agree,Agree,Agree,Strongly agree,Executive support,No,No,Very Satisfied,Very High,Cost reduction
6/1/2025 13:59,I have voluntarily agree to participate in this study,Operations Manager,More than 5 years,Over 5 Years,More than 500 employees,Logistics/Transportation,AI-powered warehouse robots,2 – 4,3- 5 times,"$10,000 – $19,999","$10,000 – $19,999",Very Frequently,8 – 10,More than 10 times,"$5,000 – $9,999","$5,000 – $9,999",Rarely,Agree,Agree,Agree,Yes,Strongly agree,Strongly agree,Maybe,Strongly agree,Strongly Agree,Agree,Strongly agree,Strongly agree,"Cost, Technical expertise, Data privacy concerns, Vendor availability, Executive support",Maybe,Yes,Very Satisfied,Very High,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/1/2025 14:03,I understand that my responses will remain confidential,Other________________,1-2 years,3 - 5 years,More than 500 employees,Health,AI-driven restocking/replenishment,8 – 10,1-2 times,"$5,000 – $9,999","$1,000 – $4,999",Occasionally,5 – 7,6 – 10 times,"$1,000 – $4,999","$5,000 – $9,999",Occasionally,Neutral,Disagree,Strongly disagree,Maybe,Agree,Strongly disagree,Yes,Agree,Agree,Agree,Neutral,Neutral,"Cost, Technical expertise, Data privacy concerns",Yes,Yes,Very Satisfied,Very High,"Cost reduction, Labour efficiency, Service levels"
6/1/2025 14:11,I understand that my responses will remain confidential,Logistics Coordinator,More than 5 years,Over 5 Years,Less than 50 employees,Health,Predictive analytics,Less than 2,1-2 times,"Less than $1,000","Less than $1,000",Frequently,2 – 4,1 – 2 times,"Less than $1,000","Less than $1,000",Occasionally,Agree,Agree,Agree,Yes,Agree,Neutral,Yes,Neutral,Agree,Agree,Agree,Neutral,"Cost, Executive support",Yes,Yes,Neutral,High,"Stock accuracy, Cost reduction"
6/1/2025 18:23,I understand the purpose of this study,Supply Chain Analysts,3 - 5 years,3 - 5 years,50 - 200 Employees,Manufacturing,AI-driven restocking/replenishment,5 – 7,3- 5 times,"$1,000 – $4,999","$10,000 – $19,999",Occasionally,More than 10,6 – 10 times,"$5,000 – $9,999","$5,000 – $9,999",Frequently,Agree,Strongly disagree,Disagree,Yes,Neutral,Agree,Yes,Strongly disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly disagree,"Cost, Technical expertise, Data privacy concerns, Vendor availability, Executive support",Yes,Yes,Very Dissatisfied,Moderate,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/1/2025 18:24,I understand the purpose of this study,Logistics Coordinator,Less than 1 year,Less than 12 months,Less than 50 employees,Logistics/Transportation,Autonomous logistics systems,5 – 7,1-2 times,"Less than $1,000","$1,000 – $4,999",Rarely,Less than 2,None,"Less than $1,000","$1,000 – $4,999",Occasionally,Disagree,Disagree,Disagree,Yes,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Disagree,"Cost, Technical expertise, Data privacy concerns, Vendor availability, Executive support",Yes,Maybe,Satisfied,Moderate,"Inventory turnover, Cost reduction, Labour efficiency"
6/1/2025 23:47,I have voluntarily agree to participate in this study,Inventory Manager,More than 5 years,1 - 2 years,More than 500 employees,Manufacturing,Predictive analytics,2 – 4,3- 5 times,"$5,000 – $9,999","$10,000 – $19,999",Frequently,8 – 10,1 – 2 times,"$1,000 – $4,999","$5,000 – $9,999",Rarely,Agree,Agree,Strongly agree,Yes,Strongly agree,Agree,Yes,Agree,Neutral,Agree,Agree,Strongly agree,"Technical expertise, Data privacy concerns, Executive support",Yes,Yes,Very Satisfied,High,"Inventory turnover, Cost reduction, Labour efficiency"
6/2/2025 0:10,I understand that my responses will remain confidential,Supply Chain Analysts,3 - 5 years,3 - 5 years,50 - 200 Employees,Health,Predictive analytics,5 – 7,3- 5 times,"$10,000 – $19,999","$20,000 or more",Occasionally,More than 10,6 – 10 times,"Less than $1,000","$5,000 – $9,999",Rarely,Agree,Strong Agree,Agree,Yes,Agree,Agree,No,Neutral,Neutral,Neutral,Strongly agree,Agree,"Cost, Technical expertise",Yes,Yes,Satisfied,Very High,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/2/2025 0:13,I understand the purpose of this study,Logistics Coordinator,3 - 5 years,Less than 12 months,200 - 400 Employees,Logistics/Transportation,Autonomous logistics systems,5 – 7,Not Sure,"$20,000 or more","$20,000 or more",Very Frequently,More than 10,More than 10 times,"Less than $1,000","$5,000 – $9,999",Rarely,Strongly agree,Agree,Strongly agree,Maybe,Agree,Strongly agree,Yes,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Executive support,Yes,Maybe,Neutral,Moderate,"Cost reduction, Labour efficiency, Service levels"
6/2/2025 0:17,I understand that I have option to withdraw from this study at any time.,Operations Manager,3 - 5 years,Over 5 Years,Less than 50 employees,Retail,AI-powered warehouse robots,2 – 4,1-2 times,"$10,000 – $19,999","$10,000 – $19,999",Very Frequently,2 – 4,6 – 10 times,"$5,000 – $9,999","$5,000 – $9,999",Rarely,Strongly agree,Agree,Neutral,Yes,Agree,Strongly agree,Yes,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,"Technical expertise, Vendor availability, Executive support",Yes,Yes,Satisfied,Very High,"Inventory turnover, Cost reduction, Labour efficiency"
6/2/2025 0:19,I have voluntarily agree to participate in this study,Inventory Manager,More than 5 years,3 - 5 years,More than 500 employees,Health,Predictive analytics,2 – 4,1-2 times,"$20,000 or more","$20,000 or more",Frequently,More than 10,More than 10 times,"$1,000 – $4,999","$1,000 – $4,999",Rarely,Strongly agree,Strong Agree,Strongly agree,Yes,Strongly agree,Agree,Yes,Strongly agree,Strongly Agree,Neutral,Agree,Strongly agree,"Cost, Vendor availability, Other_____________",Yes,Yes,Satisfied,Moderate,"Inventory turnover, Cost reduction, Service levels"
6/2/2025 0:23,I understand the purpose of this study,Supply Chain Analysts,3 - 5 years,3 - 5 years,Less than 50 employees,Retail,Autonomous logistics systems,2 – 4,1-2 times,"$5,000 – $9,999","$10,000 – $19,999",Occasionally,5 – 7,6 – 10 times,"$5,000 – $9,999","$1,000 – $4,999",Occasionally,Neutral,Disagree,Strongly agree,Maybe,Neutral,Strongly disagree,Maybe,Strongly disagree,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,"Cost, Vendor availability",No,No,Dissatisfied,Very Low,Stock accuracy
6/2/2025 0:24,I understand that my responses will remain confidential,Operations Manager,3 - 5 years,Less than 12 months,50 - 200 Employees,Retail,AI-driven restocking/replenishment,2 – 4,3- 5 times,"$10,000 – $19,999","$5,000 – $9,999",Frequently,8 – 10,1 – 2 times,"$1,000 – $4,999","Less than $1,000",Frequently,Neutral,Strong Agree,Neutral,Yes,Neutral,Strongly agree,No,Neutral,Disagree,Stronly Disagree,Disagree,Strongly disagree,"Technical expertise, Vendor availability",Maybe,Yes,Dissatisfied,Moderate,"Inventory turnover, Labour efficiency"
6/2/2025 0:25,I understand that I have option to withdraw from this study at any time.,Supply Chain Analysts,More than 5 years,Less than 12 months,Less than 50 employees,Health,Autonomous logistics systems,More than 10,1-2 times,"Less than $1,000","$5,000 – $9,999",Occasionally,More than 10,1 – 2 times,"$5,000 – $9,999","$1,000 – $4,999",Frequently,Neutral,Disagree,Disagree,Maybe,Neutral,Disagree,Maybe,Disagree,Disagree,Disagree,Strongly disagree,Disagree,"Technical expertise, Executive support",No,Yes,Satisfied,Moderate,"Stock accuracy, Labour efficiency"
6/2/2025 0:27,I understand that I have option to withdraw from this study at any time.,Supply Chain Analysts,3 - 5 years,1 - 2 years,More than 500 employees,Retail,AI-driven restocking/replenishment,More than 10,1-2 times,"$10,000 – $19,999","$20,000 or more",Very Frequently,Not sure,1 – 2 times,"$1,000 – $4,999","$1,000 – $4,999",Occasionally,Disagree,Strongly disagree,Neutral,No,Neutral,Strongly agree,No,Neutral,Agree,Agree,Agree,Agree,"Vendor availability, Other_____________",Maybe,Yes,Dissatisfied,Moderate,"Inventory turnover, Service levels"
6/2/2025 0:28,I understand that I have option to withdraw from this study at any time.,Inventory Manager,3 - 5 years,3 - 5 years,200 - 400 Employees,Other_________________,AI-powered warehouse robots,5 – 7,Over 5 times,"$5,000 – $9,999","$10,000 – $19,999",Occasionally,5 – 7,3 – 5 times,"$20,000 or more","$10,000 – $19,999",Frequently,Neutral,Strong Agree,Disagree,No,Agree,Neutral,No,Strongly agree,Disagree,Disagree,Neutral,Strongly disagree,"Cost, Data privacy concerns, Vendor availability, Other_____________",Yes,No,Dissatisfied,Moderate,"Cost reduction, Labour efficiency"
6/2/2025 0:29,I understand that my responses will remain confidential,Inventory Manager,More than 5 years,1 - 2 years,200 - 400 Employees,Logistics/Transportation,Autonomous logistics systems,5 – 7,None,"$20,000 or more","$1,000 – $4,999",Rarely,8 – 10,3 – 5 times,"$5,000 – $9,999","Less than $1,000",Rarely,Strongly agree,Neutral,Strongly disagree,Yes,Disagree,Agree,No,Neutral,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,"Technical expertise, Data privacy concerns, Executive support",Maybe,Yes,Dissatisfied,Moderate,"Stock accuracy, Cost reduction"
6/2/2025 0:30,I understand that I have option to withdraw from this study at any time.,Operations Manager,3 - 5 years,Over 5 Years,Less than 50 employees,Logistics/Transportation,AI-driven restocking/replenishment,8 – 10,Over 5 times,"$5,000 – $9,999","Less than $1,000",Occasionally,8 – 10,None,"$1,000 – $4,999","$5,000 – $9,999",Very Frequently,Strongly agree,Agree,Disagree,No,Disagree,Disagree,No,Disagree,Agree,Stronly Disagree,Strongly disagree,Disagree,"Technical expertise, Vendor availability",No,No,Dissatisfied,Moderate,"Inventory turnover, Labour efficiency"
6/2/2025 0:31,I understand the purpose of this study,Operations Manager,1-2 years,Over 5 Years,200 - 400 Employees,Logistics/Transportation,Autonomous logistics systems,Less than 2,Not Sure,"$1,000 – $4,999","Less than $1,000",Rarely,2 – 4,1 – 2 times,"$1,000 – $4,999","$10,000 – $19,999",Very Frequently,Disagree,Neutral,Strongly agree,Yes,Disagree,Strongly disagree,No,Disagree,Agree,Strongly Agree,Agree,Agree,"Technical expertise, Vendor availability",Yes,Yes,Dissatisfied,Very Low,"Inventory turnover, Labour efficiency"
6/2/2025 0:32,I understand that my responses will remain confidential,Logistics Coordinator,1-2 years,Over 5 Years,200 - 400 Employees,Logistics/Transportation,Predictive analytics,2 – 4,None,"Less than $1,000","$20,000 or more",Frequently,More than 10,6 – 10 times,"$20,000 or more","$10,000 – $19,999",Occasionally,Neutral,Strong Agree,Strongly disagree,No,Agree,Strongly disagree,No,Neutral,Disagree,Agree,Agree,Strongly agree,"Technical expertise, Vendor availability",No,Maybe,Neutral,High,"Stock accuracy, Labour efficiency, Service levels"
6/2/2025 0:33,I understand that I have option to withdraw from this study at any time.,Supply Chain Analysts,1-2 years,Over 5 Years,Less than 50 employees,Manufacturing,Other_____________________,Less than 2,3- 5 times,"$10,000 – $19,999","$1,000 – $4,999",Frequently,Not sure,1 – 2 times,"$5,000 – $9,999",Not sure,Very Frequently,Neutral,Neutral,Neutral,Maybe,Strongly agree,Agree,Yes,Agree,Agree,Neutral,Neutral,Strongly agree,"Technical expertise, Vendor availability, Executive support, Other_____________",Maybe,Yes,Very Satisfied,High,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/2/2025 0:35,I have voluntarily agree to participate in this study,Supply Chain Analysts,1-2 years,1 - 2 years,50 - 200 Employees,Logistics/Transportation,AI-powered warehouse robots,2 – 4,3- 5 times,"$1,000 – $4,999","$5,000 – $9,999",Rarely,5 – 7,1 – 2 times,"$5,000 – $9,999","$5,000 – $9,999",Rarely,Disagree,Agree,Agree,Yes,Neutral,Agree,Yes,Disagree,Neutral,Disagree,Disagree,Neutral,"Technical expertise, Vendor availability, Other_____________",No,No,Very Dissatisfied,Low,"Stock accuracy, Cost reduction, Service levels"
6/2/2025 0:36,I understand that I have option to withdraw from this study at any time.,Supply Chain Analysts,Less than 1 year,Over 5 Years,50 - 200 Employees,Retail,Predictive analytics,8 – 10,Over 5 times,"$20,000 or more","$1,000 – $4,999",Occasionally,8 – 10,More than 10 times,"$10,000 – $19,999","$20,000 or more",Frequently,Disagree,Agree,Strongly agree,Maybe,Strongly disagree,Neutral,Yes,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,"Technical expertise, Data privacy concerns, Executive support",Yes,Maybe,Satisfied,Moderate,"Cost reduction, Labour efficiency, Service levels"
