Timestamp,Please confirm the following before proceeding:,What is your role or job title?,How long have you worked in your current position?,How long has your organization been using AI in inventory or supply chain management?,What is the size of the company that you work in?,Your organization primarily operate in which sector?,Which AI technologies are currently implemented in your organization/Company?  ,"Before implementing AI,  What was your average inventory turnover ratio? ","  Before implementing AI, on average, how many stockouts occurred per month?  ","Before implementing AI,  what was your monthly cost of labor in inventory operations? ","Before implementing AI,  what was your monthly logistics and transportation cost? "," Before implementing AI, ow frequently did you experience delayed order fulfilment?  ","After implementing AI,  what is your current average inventory turnover ratio? ","After Implementing AI,  how many stockouts occur per month now? ","After implementing AI,  What is your current monthly labor cost in inventory? ","After implementing AI,  what is your current monthly logistics and transportation cost? ","After implementing AI,  how frequently do you now experience delayed order fulfilment? ",AI has significantly reduced inventory-related errors in your organization.  , Your have experienced fewer stockouts since implementing AI  , AI-based replenishment is more flexible than your previous semi-automated system  ,Automation in your organization distribution centers has decreased both costs and wait times.  ,Your organization/Company has seen improvements in order fulfilment efficiency.  , Predictive analytics have improved your organization inventory forecasting accuracy  ,Initial setup costs were a significant barrier to adopting AI.  ,Data privacy and security concerns influence your organization AI adoption decisions  , AI systems are easy to use and integrate into existing operations in your organization/company ,I trust the recommendations provided by AI systems  , Your organization/company dependency on AI systems has grown over time.  , AI helps your company/organization identify and prevent overstocking and spoilage  , What factors influenced your organization’s decision to adopt or not adopt AI for inventory management?  , Would you recommend AI-based inventory systems to other organizations?  ,AI tools have made your organization supply chain more resilient during disruptions.,How satisfied are you with the performance of AI in your supply chain management?  , How would you rate your confidence in AI-based decision-making  ,In which areas has AI had the most significant positive impact in your organization?  
6/2/2025 0:38,I understand that I have option to withdraw from this study at any time.,Other________________,Less than 1 year,1 - 2 years,200 - 400 Employees,Logistics/Transportation,Predictive analytics,More than 10,3- 5 times,"$10,000 – $19,999","$1,000 – $4,999",Very Frequently,2 – 4,6 – 10 times,"$10,000 – $19,999","$5,000 – $9,999",Frequently,Neutral,Strong Agree,Agree,Maybe,Strongly disagree,Strongly disagree,No,Neutral,Strongly Agree,Agree,Agree,Agree,"Cost, Technical expertise, Vendor availability, Other_____________",Yes,Yes,Neutral,Very High,"Stock accuracy, Service levels"
6/2/2025 0:40,I understand that my responses will remain confidential,Inventory Manager,3 - 5 years,Over 5 Years,More than 500 employees,Health,AI-powered warehouse robots,More than 10,Over 5 times,"$10,000 – $19,999","Less than $1,000",Frequently,8 – 10,6 – 10 times,"$1,000 – $4,999","$10,000 – $19,999",Occasionally,Neutral,Neutral,Neutral,Maybe,Neutral,Strongly agree,No,Agree,Neutral,Strongly Agree,Neutral,Agree,"Technical expertise, Data privacy concerns",Yes,Yes,Neutral,High,"Inventory turnover, Service levels"
6/2/2025 0:43,I understand the purpose of this study,Supply Chain Analysts,3 - 5 years,Less than 12 months,More than 500 employees,Retail,Predictive analytics,2 – 4,Over 5 times,"$5,000 – $9,999","$1,000 – $4,999",Occasionally,5 – 7,3 – 5 times,"$5,000 – $9,999","$1,000 – $4,999",Frequently,Neutral,Neutral,Agree,Yes,Strongly disagree,Agree,Yes,Agree,Agree,Neutral,Neutral,Strongly agree,"Cost, Data privacy concerns, Vendor availability, Other_____________",Yes,Yes,Neutral,Moderate,"Stock accuracy, Cost reduction, Service levels"
6/2/2025 0:45,I understand that I have option to withdraw from this study at any time.,Operations Manager,3 - 5 years,3 - 5 years,More than 500 employees,Logistics/Transportation,AI-driven restocking/replenishment,2 – 4,3- 5 times,"$5,000 – $9,999","$10,000 – $19,999",Very Frequently,8 – 10,6 – 10 times,"$1,000 – $4,999","Less than $1,000",Occasionally,Neutral,Neutral,Neutral,Yes,Strongly agree,Strongly agree,Yes,Neutral,Neutral,Neutral,Neutral,Strongly agree,"Cost, Vendor availability",Yes,No,Dissatisfied,Low,"Inventory turnover, Labour efficiency"
6/2/2025 0:47,I understand the purpose of this study,Logistics Coordinator,More than 5 years,Over 5 Years,50 - 200 Employees,Manufacturing,Predictive analytics,Less than 2,None,"$20,000 or more","$20,000 or more",Occasionally,More than 10,More than 10 times,"$5,000 – $9,999","$5,000 – $9,999",Rarely,Strongly agree,Strong Agree,Strongly agree,Yes,Strongly agree,Neutral,Yes,Neutral,Strongly Agree,Agree,Strongly agree,Agree,"Cost, Technical expertise, Data privacy concerns, Vendor availability, Executive support, Other_____________",Yes,Yes,Satisfied,High,"Stock accuracy, Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/2/2025 0:48,I understand that my responses will remain confidential,Logistics Coordinator,3 - 5 years,3 - 5 years,200 - 400 Employees,Health,Autonomous logistics systems,2 – 4,1-2 times,"$20,000 or more",Not sure,Occasionally,More than 10,More than 10 times,"$5,000 – $9,999","$10,000 – $19,999",Rarely,Neutral,Neutral,Neutral,Yes,Agree,Strongly agree,Yes,Agree,Agree,Agree,Neutral,Neutral,"Technical expertise, Data privacy concerns, Executive support, Other_____________",Yes,Yes,Satisfied,High,"Stock accuracy, Labour efficiency, Service levels"
6/2/2025 0:50,I understand the purpose of this study,Supply Chain Analysts,1-2 years,3 - 5 years,50 - 200 Employees,Logistics/Transportation,Autonomous logistics systems,2 – 4,None,"$20,000 or more","$20,000 or more",Very Frequently,5 – 7,6 – 10 times,"Less than $1,000","Less than $1,000",Rarely,Strongly agree,Neutral,Disagree,Maybe,Neutral,Neutral,Yes,Agree,Agree,Neutral,Neutral,Agree,"Cost, Data privacy concerns, Vendor availability, Executive support, Other_____________",Yes,Yes,Satisfied,High,"Stock accuracy, Inventory turnover"
6/2/2025 0:53,I understand that I have option to withdraw from this study at any time.,Operations Manager,Less than 1 year,3 - 5 years,200 - 400 Employees,Logistics/Transportation,Predictive analytics,2 – 4,1-2 times,"$10,000 – $19,999","$10,000 – $19,999",Occasionally,5 – 7,3 – 5 times,"$5,000 – $9,999","$5,000 – $9,999",Rarely,Agree,Agree,Agree,Yes,Neutral,Disagree,No,Disagree,Agree,Neutral,Neutral,Agree,"Technical expertise, Data privacy concerns, Vendor availability",Yes,No,Very Satisfied,High,"Stock accuracy, Service levels"
6/2/2025 0:54,I understand the purpose of this study,Logistics Coordinator,Less than 1 year,Less than 12 months,Less than 50 employees,Manufacturing,AI-driven restocking/replenishment,Not Sure,Not Sure,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Frequently,Disagree,Strongly disagree,Disagree,Yes,Neutral,Disagree,No,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,"Technical expertise, Vendor availability, Other_____________",Yes,Yes,Very Dissatisfied,Moderate,"Stock accuracy, Labour efficiency, Service levels"
6/2/2025 0:55,I understand that my responses will remain confidential,Other________________,1-2 years,Less than 12 months,More than 500 employees,Retail,AI-driven restocking/replenishment,Less than 2,1-2 times,"$10,000 – $19,999","$5,000 – $9,999",Frequently,5 – 7,3 – 5 times,"$1,000 – $4,999","Less than $1,000",Occasionally,Neutral,Strong Agree,Neutral,Yes,Neutral,Disagree,No,Agree,Agree,Strongly Agree,Strongly agree,Agree,"Cost, Data privacy concerns, Executive support, Other_____________",Maybe,Maybe,Very Satisfied,Very High,"Stock accuracy, Cost reduction, Labour efficiency"
6/2/2025 0:57,I understand the purpose of this study,Inventory Manager,3 - 5 years,3 - 5 years,200 - 400 Employees,Logistics/Transportation,Other_____________________,More than 10,Over 5 times,"$20,000 or more","$20,000 or more",Very Frequently,Not sure,Not sure,Not sure,"$20,000 or more",Rarely,Neutral,Strong Agree,Strongly agree,Yes,Neutral,Agree,Yes,Agree,Neutral,Neutral,Strongly agree,Strongly agree,"Cost, Technical expertise, Data privacy concerns, Vendor availability, Executive support, Other_____________",Yes,Yes,Neutral,Moderate,"Stock accuracy, Service levels"
6/2/2025 0:58,I understand that I have option to withdraw from this study at any time.,Supply Chain Analysts,3 - 5 years,Over 5 Years,200 - 400 Employees,Logistics/Transportation,AI-powered warehouse robots,2 – 4,1-2 times,"$5,000 – $9,999","$1,000 – $4,999",Frequently,More than 10,3 – 5 times,"$10,000 – $19,999","$1,000 – $4,999",Frequently,Agree,Neutral,Agree,Maybe,Agree,Neutral,No,Neutral,Neutral,Strongly Agree,Agree,Strongly agree,"Cost, Data privacy concerns, Executive support",Yes,Yes,Satisfied,Very Low,"Inventory turnover, Cost reduction, Service levels"
6/2/2025 0:59,I understand that I have option to withdraw from this study at any time.,Operations Manager,3 - 5 years,Less than 12 months,Less than 50 employees,Retail,AI-driven restocking/replenishment,Less than 2,None,"$5,000 – $9,999",Not sure,Frequently,More than 10,6 – 10 times,"$1,000 – $4,999","$5,000 – $9,999",Occasionally,Neutral,Disagree,Strongly disagree,Yes,Disagree,Neutral,No,Agree,Agree,Strongly Agree,Agree,Agree,"Cost, Data privacy concerns, Executive support",Yes,Yes,Neutral,Low,"Stock accuracy, Inventory turnover, Service levels"
6/2/2025 1:00,I have voluntarily agree to participate in this study,Logistics Coordinator,3 - 5 years,Over 5 Years,200 - 400 Employees,Logistics/Transportation,AI-powered warehouse robots,Less than 2,1-2 times,"$10,000 – $19,999","$1,000 – $4,999",Very Frequently,8 – 10,6 – 10 times,"$1,000 – $4,999","$1,000 – $4,999",Occasionally,Neutral,Neutral,Neutral,Yes,Strongly agree,Agree,Yes,Agree,Agree,Strongly Agree,Agree,Agree,"Technical expertise, Executive support",Yes,Yes,Neutral,Very High,"Stock accuracy, Cost reduction, Service levels"
6/2/2025 1:01,I understand that my responses will remain confidential,Inventory Manager,1-2 years,3 - 5 years,More than 500 employees,Health,AI-powered warehouse robots,More than 10,3- 5 times,"$1,000 – $4,999","$1,000 – $4,999",Occasionally,8 – 10,None,"$10,000 – $19,999","$5,000 – $9,999",Frequently,Agree,Strong Agree,Neutral,Yes,Neutral,Strongly agree,Maybe,Strongly agree,Strongly Agree,Neutral,Neutral,Neutral,"Technical expertise, Vendor availability, Other_____________",Yes,Yes,Satisfied,Moderate,"Stock accuracy, Cost reduction, Service levels"
6/2/2025 1:03,I understand that I have option to withdraw from this study at any time.,Logistics Coordinator,1-2 years,Over 5 Years,50 - 200 Employees,Other_________________,AI-powered warehouse robots,5 – 7,3- 5 times,"$10,000 – $19,999","$10,000 – $19,999",Occasionally,2 – 4,1 – 2 times,"$10,000 – $19,999","$10,000 – $19,999",Very Frequently,Strongly agree,Agree,Neutral,Yes,Neutral,Neutral,Yes,Neutral,Disagree,Disagree,Neutral,Strongly agree,"Cost, Other_____________",Yes,Yes,Very Satisfied,Moderate,"Stock accuracy, Labour efficiency"
6/2/2025 1:07,I have voluntarily agree to participate in this study,Inventory Manager,3 - 5 years,1 - 2 years,50 - 200 Employees,Logistics/Transportation,AI-powered warehouse robots,5 – 7,1-2 times,"$10,000 – $19,999","$10,000 – $19,999",Very Frequently,2 – 4,6 – 10 times,"$1,000 – $4,999","Less than $1,000",Occasionally,Strongly agree,Strong Agree,Strongly agree,Yes,Neutral,Agree,Yes,Agree,Agree,Strongly Agree,Agree,Agree,"Cost, Vendor availability, Other_____________",Yes,Yes,Satisfied,High,"Inventory turnover, Cost reduction, Labour efficiency, Service levels"
6/2/2025 1:37,I have voluntarily agree to participate in this study,Other________________,1-2 years,Over 5 Years,50 - 200 Employees,Health,Other_____________________,2 – 4,1-2 times,"Less than $1,000","Less than $1,000",Rarely,2 – 4,1 – 2 times,"$1,000 – $4,999","Less than $1,000",Rarely,Agree,Agree,Strongly agree,Maybe,Agree,Strongly agree,No,Disagree,Agree,Strongly Agree,Agree,Strongly agree,Vendor availability,No,No,Very Satisfied,Very High,Labour efficiency
6/2/2025 1:44,I understand the purpose of this study,Other________________,1-2 years,1 - 2 years,50 - 200 Employees,Health,Other_____________________,2 – 4,1-2 times,"$1,000 – $4,999","Less than $1,000",Rarely,Less than 2,1 – 2 times,"$1,000 – $4,999","Less than $1,000",Rarely,Strongly agree,Strong Agree,Strongly agree,Yes,Strongly agree,Strongly agree,No,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Other_____________,No,Maybe,Very Satisfied,Very High,Labour efficiency
6/2/2025 1:50,I understand the purpose of this study,Other________________,1-2 years,1 - 2 years,50 - 200 Employees,Health,Other_____________________,2 – 4,None,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Rarely,Strongly agree,Strong Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Maybe,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Other_____________,No,Yes,Very Satisfied,Low,"Labour efficiency, Service levels"
6/2/2025 1:52,I understand the purpose of this study,Inventory Manager,3 - 5 years,Over 5 Years,Less than 50 employees,Retail,AI-driven restocking/replenishment,Not Sure,3- 5 times,"$1,000 – $4,999","$1,000 – $4,999",Occasionally,8 – 10,More than 10 times,"$20,000 or more","$10,000 – $19,999",Frequently,Strongly agree,Agree,Agree,Yes,Agree,Strongly agree,No,Agree,Strongly Agree,Neutral,Neutral,Strongly agree,"Technical expertise, Vendor availability, Executive support",Yes,Yes,Very Satisfied,High,"Inventory turnover, Service levels"
6/2/2025 1:53,I understand the purpose of this study,Operations Manager,3 - 5 years,1 - 2 years,50 - 200 Employees,Retail,Predictive analytics,More than 10,1-2 times,"Less than $1,000","$5,000 – $9,999",Rarely,8 – 10,3 – 5 times,"$1,000 – $4,999","Less than $1,000",Rarely,Strongly Disagree,Disagree,Agree,No,Neutral,Strongly agree,Maybe,Disagree,Strongly Disagree,Neutral,Agree,Strongly agree,Technical expertise,No,No,Very Dissatisfied,Moderate,Cost reduction
6/2/2025 1:54,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,50 - 200 Employees,Retail,AI-powered warehouse robots,2 – 4,None,Not sure,"Less than $1,000",Rarely,2 – 4,None,"Less than $1,000","Less than $1,000",Rarely,Strongly Disagree,Disagree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Strongly disagree,Cost,Yes,No,Neutral,Very Low,Inventory turnover
6/2/2025 1:56,I understand the purpose of this study,Supply Chain Analysts,1-2 years,Less than 12 months,50 - 200 Employees,Health,AI-driven restocking/replenishment,2 – 4,Not Sure,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Rarely,Agree,Strong Agree,Strongly agree,No,Neutral,Neutral,Maybe,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Executive support,No,Yes,Very Dissatisfied,Very Low,Stock accuracy
6/2/2025 1:58,I understand the purpose of this study,Other________________,Less than 1 year,Less than 12 months,Less than 50 employees,Health,AI-driven restocking/replenishment,Less than 2,None,"Less than $1,000",Not sure,Rarely,Less than 2,None,Not sure,Not sure,Occasionally,Strongly Disagree,Agree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Maybe,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Disagree,Technical expertise,Yes,Yes,Very Satisfied,Very Low,Stock accuracy
6/2/2025 2:01,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,AI-driven restocking/replenishment,8 – 10,3- 5 times,"$1,000 – $4,999","Less than $1,000",Rarely,Less than 2,None,"Less than $1,000","Less than $1,000",Frequently,Strongly Disagree,Strongly disagree,Neutral,Yes,Disagree,Strongly disagree,No,Disagree,Strongly Disagree,Disagree,Agree,Strongly disagree,Cost,Yes,Yes,Dissatisfied,Very Low,Stock accuracy
6/2/2025 2:08,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Manufacturing,AI-driven restocking/replenishment,Not Sure,Not Sure,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Rarely,Strongly Disagree,Strongly disagree,Strongly disagree,Yes,Disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Strongly disagree,Cost,Yes,Yes,Very Dissatisfied,Low,Inventory turnover
6/2/2025 2:09,I understand the purpose of this study,Inventory Manager,Less than 1 year,1 - 2 years,Less than 50 employees,Health,AI-driven restocking/replenishment,Less than 2,None,"Less than $1,000","Less than $1,000",Rarely,Less than 2,None,"Less than $1,000","Less than $1,000",Rarely,Disagree,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Disagree,Disagree,Strongly disagree,Vendor availability,Yes,Yes,Neutral,Low,Stock accuracy
6/2/2025 2:10,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,Predictive analytics,2 – 4,None,"Less than $1,000","Less than $1,000",Rarely,2 – 4,More than 10 times,"$1,000 – $4,999",Not sure,Frequently,Agree,Neutral,Disagree,No,Strongly disagree,Strongly disagree,Maybe,Disagree,Disagree,Disagree,Agree,Neutral,Technical expertise,Maybe,Yes,Very Dissatisfied,Very Low,Stock accuracy
6/2/2025 2:12,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,More than 500 employees,Logistics/Transportation,AI-driven restocking/replenishment,Less than 2,Not Sure,Not sure,Not sure,Very Frequently,Less than 2,Not sure,Not sure,Not sure,Occasionally,Agree,Neutral,Agree,Maybe,Strongly agree,Neutral,Yes,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Technical expertise,Yes,Yes,Dissatisfied,Moderate,Labour efficiency
6/2/2025 2:23,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,50 - 200 Employees,Health,AI-driven restocking/replenishment,Less than 2,3- 5 times,"$20,000 or more","$5,000 – $9,999",Very Frequently,Not sure,Not sure,"$5,000 – $9,999",Not sure,Occasionally,Disagree,Agree,Agree,No,Neutral,Neutral,No,Neutral,Agree,Neutral,Disagree,Neutral,Technical expertise,No,Yes,Neutral,Very High,Labour efficiency
6/2/2025 2:24,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,Predictive analytics,8 – 10,Not Sure,"$10,000 – $19,999",Not sure,Very Frequently,Not sure,Not sure,Not sure,Not sure,Very Frequently,Strongly agree,Agree,Disagree,Yes,Disagree,Strongly disagree,Yes,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Technical expertise,Yes,No,Satisfied,Very Low,Stock accuracy
6/2/2025 2:26,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,AI-driven restocking/replenishment,Not Sure,Not Sure,Not sure,Not sure,Frequently,5 – 7,More than 10 times,"$10,000 – $19,999","$20,000 or more",Frequently,Strongly agree,Agree,Strongly agree,Maybe,Strongly disagree,Strongly disagree,Yes,Disagree,Strongly Agree,Agree,Disagree,Strongly agree,Technical expertise,Maybe,Maybe,Very Satisfied,Very Low,Stock accuracy
